Assay Definition

Assay Description:
Low-level assay for 3H in UG LLT
Assay Type: DPM (Single)
Report Name: Report1
Output Data Path: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various
Raw Results Path: C:\Packard\Tricarb\Results\Default\Flibe_Test\20241221_0801\20241221_0801.results
Comma-Delimited File Name: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various\REPEAT_IV-1-1_1-2.csv
Assay File Name: C:\Packard\TriCarb\Assays\Flibe_Test.lsa


Count Conditions

Nuclide: 3H UG LLT Normal     
   Quench Indicator: tSIE/AEC
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 6        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.0     18.6
B              2.0     18.6
C              4.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


S#,SMPL_ID,Bq:1,CPMA,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
1,1L-Bl-1,0.366,6,0,286.57,26.46,100.00,22
1,1L-Bl-1,0.365,6,0,283.77,26.22,100.00,22
1,1L-Bl-1,0.337,5,0,285.04,26.33,100.00,20
1,1L-Bl-1,0.349,5,0,283.57,26.21,100.00,21
1,1L-Bl-1,0.366,6,0,285.64,26.38,100.00,22
1,1L-Bl-1,0.351,6,0,285.39,26.36,100.00,21
,,0.356,6,0,285.00,26.33,,21

Missing vial 2.
3,1L-IV_1-1-3,1.714,27,0,283.52,26.20,100.00,103
3,1L-IV_1-1-3,1.689,27,0,283.75,26.22,100.00,101
3,1L-IV_1-1-3,1.681,26,0,284.01,26.24,100.00,101
3,1L-IV_1-1-3,1.728,27,0,283.58,26.21,100.00,104
3,1L-IV_1-1-3,1.754,28,0,283.25,26.18,100.00,105
3,1L-IV_1-1-3,1.702,27,0,283.99,26.24,100.00,102
,,1.711,27,0,283.68,26.22,,103

4,1L-IV_1-1-4,0.415,7,0,284.33,26.27,100.00,25
4,1L-IV_1-1-4,0.413,6,0,283.74,26.22,100.00,25
4,1L-IV_1-1-4,0.428,7,0,283.92,26.24,100.00,26
4,1L-IV_1-1-4,0.416,7,0,283.91,26.24,100.00,25
4,1L-IV_1-1-4,0.403,6,0,283.70,26.22,100.00,24
4,1L-IV_1-1-4,0.417,7,0,284.34,26.27,100.00,25
,,0.415,7,0,283.99,26.24,,25

Missing vial 5.
6,1L-IV_1-2-3,3.487,54,0,280.88,25.98,100.00,209
6,1L-IV_1-2-3,3.427,53,0,281.31,26.01,100.00,206
6,1L-IV_1-2-3,3.371,53,0,281.33,26.01,100.00,202
6,1L-IV_1-2-3,3.490,55,0,281.77,26.05,100.00,209
6,1L-IV_1-2-3,3.482,54,0,282.11,26.08,100.00,209
6,1L-IV_1-2-3,3.309,52,0,282.00,26.07,100.00,199
,,3.428,54,0,281.57,26.04,,206

7,1L-IV_1-2-4,0.645,10,0,282.01,26.07,100.00,39
7,1L-IV_1-2-4,0.628,10,0,283.07,26.16,100.00,38
7,1L-IV_1-2-4,0.620,10,0,282.85,26.14,100.00,37
7,1L-IV_1-2-4,0.615,10,0,283.22,26.18,100.00,37
7,1L-IV_1-2-4,0.650,10,0,283.43,26.19,100.00,39
7,1L-IV_1-2-4,0.627,10,0,284.45,26.28,100.00,38
,,0.631,10,0,283.17,26.17,,38

